chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
水果,shuǐ guǒ,,waco,,0.3928571428571428,ʂweɪkwɔ,weɪkoʊ
睡觉,shuì jiào,,ratio,,0.4722222222222222,ʂweɪtɕjɑʊ,reɪʃioʊ
说话,shuō huà,,walkway,,0.4166666666666666,ʂwɔxwa,wɔkweɪ
四,sì,,c,,0.25,sɯ,si
岁,suì,,sway,,0.0,sweɪ,sweɪ
他,tā,,ta,,0.3333333333333333,tʰa,tɑ
她,tā,,ta,,0.3333333333333333,tʰa,tɑ
太,tài,,try,,0.25,tʰaɪ,traɪ
天气,tiān qì,,twenty,,0.4444444444444444,tʰjɛntɕʰi,twɛnti
听,tīng,,tang,,0.4375,tʰiŋ,tɑŋ
同学,tóng xué,,tissue,,0.5714285714285714,tʰʊŋɕɥœ,tɪʃu
喂,wèi,,way,,0.0,weɪ,weɪ
我,wǒ,,war,,0.3333333333333333,wɔ,wɔr
我们,wǒ men,,women,,0.15,wɔmən,wɪmən
五,wǔ,,ou,,0.0,u,u
喜欢,xǐ huan,,squad,,0.3333333333333333,ɕixwan,skwɑd
下,xià,,ya,,0.3333333333333333,ɕja,jɑ
下午,xià wǔ,,hue,,0.3125,ɕjau,hju
下雨,xià yǔ,,hue,,0.3125,ɕjay,hju
先生,xiān sheng,,sensing,,0.3928571428571428,ɕjɛnʂɤŋ,sɛnsɪŋ
现在,xiàn zài,,hyundai,,0.4375,ɕjɛntsaɪ,həndeɪ
想,xiǎng,,xiang,,0.125,ɕjɑŋ,ʃiɑŋ
小,xiǎo,,yao,,0.25,ɕjɑʊ,jaʊ
小姐,xiǎo jie,,shouting,,0.46875,ɕjɑʊtɕjɛ,ʃaʊtɪŋ
些,xiē,,shia,,0.25,ɕjɛ,ʃiə
写,xiě,,shia,,0.25,ɕjɛ,ʃiə
谢谢,xiè xie,,yahya,,0.4166666666666666,ɕjɛɕjɛ,jəjə
星期,xīng qī,,history,,0.5357142857142857,ɕiŋtɕʰi,hɪstəri
学生,xué sheng,,swelling,,0.375,ɕɥœʂɤŋ,swɛlɪŋ
学习,xué xí,,wary,,0.35,ɕɥœɕi,wɛri
学校,xué xiào,,whereby,,0.4642857142857142,ɕɥœɕjɑʊ,wɛrbaɪ
一,yī,,e,,0.0,i,i
衣服,yī fu,,cebu,,0.3125,ifu,sibu
医生,yī shēng,,song,,0.375,iʂɤŋ,sɔŋ
医院,yī yuàn,,yuen,,0.0625,iɥœn,jwɛn
椅子,yǐ zi,,eats,,0.25,itsɯ,its
有,yǒu,,duo,,0.25,yoʊ,duoʊ
月,yuè,,where,,0.3333333333333333,ɥœ,wɛr
在,zài,,try,,0.1875,tsaɪ,traɪ
再见,zài jiàn,,titan,,0.3611111111111111,tsaɪtɕjɛn,taɪtən
怎么,zěn me,,tsunami,,0.3928571428571428,tsənmɤ,tsunɑmi
怎么样,zěn me yàng,,xinjiang,,0.4444444444444444,tsənmɤjɑŋ,zɪnʤiæŋ
这,zhè,,saw,,0.4166666666666666,ʈʂɤ,sɔ
中国,Zhōng guó,,sinking,,0.5,ʈʂʊŋkwɔ,sɪŋkɪŋ
中午,zhōng wǔ,,singh,,0.5,ʈʂʊŋu,sɪŋ
住,zhù,,true,,0.3333333333333333,ʈʂu,tru
桌子,zhuō zi,,suites,,0.3928571428571428,ʈʂwɔtsɯ,swits
字,zì,,to,,0.4166666666666666,tsɯ,tɪ
昨天,zuó tiān,,stallion,,0.4444444444444445,tswɔtʰjɛn,stæljən
坐,zuò,,sui,,0.4375,tswɔ,swi
做,zuò,,sui,,0.4375,tswɔ,swi
吧,ba,,pa,,0.0,pa,pɑ
白,bái,,by,,0.0,paɪ,baɪ
百,bǎi,,by,,0.0,paɪ,baɪ
帮助,bāng zhù,,banks,,0.3749999999999999,pɑŋʈʂu,bæŋks
报纸,bào zhǐ,,bouts,,0.2499999999999999,pɑʊʈʂɨ,baʊts
比,bǐ,,be,,0.0,pi,bi
别,bié,,pia,,0.1666666666666666,pjɛ,piə
长,cháng,,sang,,0.25,ʈʂɑŋ,sæŋ
唱歌,chàng gē,,sank,,0.4285714285714285,ʈʂʰɑŋkɤ,sæŋk
出,chū,,through,,0.5,ʈʂʰu,θru
穿,chuān,,squad,,0.3749999999999999,ʈʂʰwan,skwɑd
船,chuán,,squad,,0.3749999999999999,ʈʂʰwan,skwɑd
次,cì,,try,,0.5,tsʰɯ,traɪ
从,cóng,,sting,,0.4,tsʰʊŋ,stɪŋ
错,cuò,,straw,,0.5,tsʰwɔ,strɔ
打篮球,dá lán qiú,,toronto,,0.3863636363636363,talantɕʰjoʊ,tərɑntoʊ
大家,dà jiā,,tata,,0.3333333333333333,tatɕja,tɑtɑ
但是,dàn shì,,nancy,,0.2,tanʂɨ,nænsi
到,dào,,tao,,0.0,tɑʊ,taʊ
得,de,,ta,,0.25,tɤ,tɑ
得,děi,,ta,,0.25,tɤ,tɑ
弟弟,dì di,,treaty,,0.2,titi,triti
第一,dì yī,,tb,,0.25,tii,tibi
懂,dǒng,,took,,0.1666666666666666,tʊŋ,tʊk
房间,fáng jiān,,faction,,0.375,fɑŋtɕjɛn,fækʃən
非常,fēi cháng,,facing,,0.34375,feɪʈʂʰɑŋ,feɪsɪŋ
服务员,fú wù yuán,,fusion,,0.3749999999999999,fuuɥœn,fjuʒən
高,gāo,,cao,,0.0,kɑʊ,kaʊ
告诉,gào su,,cows,,0.3,kɑʊsu,kaʊz
哥哥,gē ge,,cox,,0.375,kɤkɤ,kɑks
给,gěi,,k,,0.0,keɪ,keɪ
公共汽车,gōng gòng qì chē,,conquest,,0.6428571428571429,kʊŋkʊŋtɕʰiʈʂʰɤ,kɑŋkwɛst
公斤,gōng jīn,,kingston,,0.3571428571428571,kʊŋtɕin,kɪŋstən
公司,gōng sī,,cooks,,0.3,kʊŋsɯ,kʊks
贵,guì,,quake,,0.2,kweɪ,kweɪk
还,hái,,chi,,0.0,xaɪ,kaɪ
孩子,hái zi,,cato,,0.2916666666666666,xaɪtsɯ,keɪtoʊ
好吃,hǎo chī,,county,,0.3928571428571428,xɑʊʈʂʰɨ,kaʊnti
号,hào,,cao,,0.0,xɑʊ,kaʊ
黑,hēi,,k,,0.0,xeɪ,keɪ
红,hóng,,king,,0.1666666666666666,xʊŋ,kɪŋ
欢迎,huān yíng,,wanting,,0.25,xwaniŋ,wɑnɪŋ
还,huán,,chi,,0.0,xaɪ,kaɪ
回答,huí dá,,quite,,0.25,xweɪta,kwaɪt
机场,jī chǎng,,treating,,0.46875,tɕiʈʂʰɑŋ,tritɪŋ
鸡蛋,jī dàn,,treated,,0.2916666666666666,tɕitan,tritɪd
件,jiàn,,tian,,0.35,tɕjɛn,tjɑn
教室,jiào shì,,tracy,,0.3928571428571428,tɕjɑʊʂɨ,treɪsi
姐姐,jiě jie,,terrestrial,,0.5,tɕjɛtɕjɛ,tərɛstriəl
介绍,jiè shào,,stimuli,,0.4722222222222222,tɕjɛʂɑʊ,stɪmjəlaɪ
进,jìn,,teen,,0.25,tɕin,tin
近,jìn,,teen,,0.25,tɕin,tin
就,jiù,,trio,,0.2,tɕjoʊ,trioʊ
觉得,jué de,,twelve,,0.4166666666666666,tɕɥœtɤ,twɛlv
咖啡,kā fēi,,cafe,,0.2916666666666666,kʰafeɪ,kəfeɪ
开始,kāi shǐ,,casey,,0.2916666666666666,kʰaɪʂɨ,keɪsi
考试,kǎo shì,,crowley,,0.2916666666666666,kʰɑʊʂɨ,kraʊli
可能,kě néng,,canning,,0.375,kʰɤnɤŋ,kænɪŋ
可以,kě yǐ,,croix,,0.4375,kʰɤi,krɔɪ
课,kè,,claw,,0.4166666666666666,kʰɤ,klɔ
快,kuài,,y,,0.4,kʰwaɪ,waɪ
快乐,kuài lè,,choirs,,0.3571428571428571,kʰwaɪlɤ,kwaɪrz
累,lèi,,lay,,0.0,leɪ,leɪ
离,lí,,lee,,0.0,li,li
两,liǎng,,liang,,0.0,ljɑŋ,ljæŋ
路,lù,,lou,,0.0,lu,lu
旅游,lǚ yóu,,luo,,0.25,lyyoʊ,lwoʊ
卖,mài,,my,,0.0,maɪ,maɪ
慢,màn,,man,,0.0,man,mæn
忙,máng,,bang,,0.0833333333333333,mɑŋ,bæŋ
每,měi,,may,,0.0,meɪ,meɪ
妹妹,mèi mei,,malay,,0.1666666666666666,meɪmeɪ,meɪleɪ
门,mén,,men,,0.0833333333333333,mən,mɛn
男人,nán rén,,mansion,,0.1666666666666666,nanʐən,mænʃən
您,nín,,need,,0.0833333333333333,nin,nid
牛奶,niú nǎi,,nikolai,,0.28125,njoʊnaɪ,nɪkoʊlaɪ
女人,nǚ rén,,newton,,0.15,nyʐən,nutən
旁边,páng biān,,blackburn,,0.40625,pʰɑŋpjɛn,blækbərn
跑步,pǎo bù,,bamboo,,0.3333333333333333,pʰɑʊpu,bæmbu
便宜,pián yi,,penny,,0.3333333333333333,pʰjɛni,pɛni
票,piào,,yao,,0.4,pʰjɑʊ,jaʊ
妻子,qī zi,,treats,,0.3928571428571428,tɕʰitsɯ,trits
起床,qǐ chuáng,,treating,,0.5750000000000001,tɕʰiʈʂʰwɑŋ,tritɪŋ
千,qiān,,trillion,,0.4285714285714285,tɕʰjɛn,trɪljən
晴,qíng,,teaching,,0.5,tɕʰiŋ,tiʧɪŋ
去年,qù nián,,reunion,,0.375,tɕʰynjɛn,riunjən
让,ràng,,zhang,,0.0833333333333333,ʐɑŋ,ʒɑŋ
上班,shàng bān,,sorbonne,,0.3333333333333333,ʂɑŋpan,sɔrbɑn
身体,shēn tǐ,,sunday,,0.2916666666666666,ʂəntʰi,səndi
生病,shēng bìng,,singing,,0.4166666666666666,ʂɤŋpiŋ,sɪŋɪŋ
生日,shēng rì,,songs,,0.35,ʂɤŋʐɨ,sɔŋz
时间,shí jiān,,seton,,0.3571428571428571,ʂɨtɕjɛn,sitən
事情,shì qing,,seating,,0.3928571428571428,ʂɨtɕʰiŋ,sitɪŋ
手表,shǒu biǎo,,sonia,,0.2857142857142857,ʂoʊpjɑʊ,soʊnjɑ
手机,shǒu jī,,holy,,0.3333333333333333,ʂoʊtɕi,hoʊli
送,sòng,,singh,,0.1666666666666666,sʊŋ,sɪŋ
所以,suǒ yǐ,,swan,,0.25,swɔi,swɔn
它,tā,,ta,,0.3333333333333333,tʰa,tɑ
踢,tī,,t,,0.3333333333333333,tʰi,ti
题,tí,,t,,0.3333333333333333,tʰi,ti
跳舞,tiào wǔ,,liao,,0.4583333333333332,tʰjɑʊu,liaʊ
外,wài,,y,,0.0,waɪ,waɪ
完,wán,,juan,,0.0,wan,wɑn
玩,wán,,juan,,0.0,wan,wɑn
晚上,wǎn shang,,wanting,,0.2916666666666666,wanʂɑŋ,wɑnɪŋ
为,wèi,,way,,0.0,weɪ,weɪ
问,wèn,,one,,0.0,wən,wən
问题,wèn tí,,wendy,,0.2916666666666666,wəntʰi,wɛndi
西瓜,xī guā,,sequel,,0.4166666666666666,ɕikwa,sikwəl
